id,title,price,promo_price,url
3405551,Конструктор LEGO Friends Торговый центр Хартлейк Сити 41450,9499,5839,https://www.detmir.ru/product/index/id/3405551/
3244472,Конструктор LEGO DUPLO Грузовик и гусеничный экскаватор 10931,1759,979,https://www.detmir.ru/product/index/id/3244472/
3244612,Конструктор LEGO Technic Самосвал Volvo 6*6 42114,22999,13799,https://www.detmir.ru/product/index/id/3244612/
3405579,Конструктор LEGO My City Центр города 60292,8999,5619,https://www.detmir.ru/product/index/id/3405579/
3226650,Конструктор LEGO City Police Погоня на полицейском вертолете 60243,2499,1529,https://www.detmir.ru/product/index/id/3226650/
3226605,Конструктор LEGO Friends Автобус для друзей 41395,6499,3899,https://www.detmir.ru/product/index/id/3226605/
3150682,Конструктор LEGO Technic Porsche 911 RSR 42096,13999,8759,https://www.detmir.ru/product/index/id/3150682/
3546360,Конструктор LEGO Harry Potter Хогвартс-экспресс 75955,7499,5779,https://www.detmir.ru/product/index/id/3546360/
3226653,Конструктор LEGO City Police Полицейский участок 60246,8999,5399,https://www.detmir.ru/product/index/id/3226653/
3386282,Конструктор LEGO Minecraft Торговый пост 21167,1789,False,https://www.detmir.ru/product/index/id/3386282/
3176039,Конструктор LEGO Harry Potter Хижина Хагрида спасение Клювокрыла 75947,5499,3569,https://www.detmir.ru/product/index/id/3176039/
3244599,Конструктор LEGO Harry Potter Астрономическая башня Хогвартса 75969,9499,5699,https://www.detmir.ru/product/index/id/3244599/
3498472,Конструктор LEGO Disney Princess Райя и дракон Сису 43184,2599,1639,https://www.detmir.ru/product/index/id/3498472/
3244609,Конструктор LEGO MINDSTORMS EV3 Робот-изобретатель 51515,31999,18989,https://www.detmir.ru/product/index/id/3244609/
3244508,Конструктор LEGO Friends Домик для панд на дереве 41422,2599,1589,https://www.detmir.ru/product/index/id/3244508/
3176053,Конструктор LEGO Harry Potter Автобус Ночной рыцарь 75957,3699,2359,https://www.detmir.ru/product/index/id/3176053/
3596764,Конструктор LEGO Minecraft Конюшня 21171,1799,1099,https://www.detmir.ru/product/index/id/3596764/
3226597,Конструктор LEGO Friends Роскошный отдых на природе 41392,2599,1559,https://www.detmir.ru/product/index/id/3226597/
3597032,Конструктор LEGO Harry Potter Хогвартс: ошибка с оборотным зельем 76386,1799,1369,https://www.detmir.ru/product/index/id/3597032/
3597036,Конструктор LEGO Speed Champions Koenigsegg Jesko 76900,1799,False,https://www.detmir.ru/product/index/id/3597036/
3405550,Конструктор LEGO Friends Дом семьи Андреа 41449,6499,4139,https://www.detmir.ru/product/index/id/3405550/
3405540,Конструктор LEGO Creator Космический робот для горных работ 31115,2199,1339,https://www.detmir.ru/product/index/id/3405540/
3092801,Конструктор LEGO DUPLO Town Железнодорожный мост (10872),2199,1349,https://www.detmir.ru/product/index/id/3092801/
3226587,Конструктор LEGO Minecraft Приключения в тайге 21162,899,809,https://www.detmir.ru/product/index/id/3226587/
3596976,Конструктор LEGO Ninjago Спидер-амфибия ниндзя 71752,3599,2289,https://www.detmir.ru/product/index/id/3596976/
3142024,Конструктор LEGO DUPLO Town Пожарное депо 10903,4499,2869,https://www.detmir.ru/product/index/id/3142024/
3142079,Конструктор LEGO City Fire Центральная пожарная станция 60216,8999,5289,https://www.detmir.ru/product/index/id/3142079/
3597034,Конструктор LEGO Harry Potter Визит в деревню Хогсмид 76388,7499,4689,https://www.detmir.ru/product/index/id/3597034/
3597033,Конструктор LEGO Harry Potter Хогвартс: пушистая встреча 76387,3699,2349,https://www.detmir.ru/product/index/id/3597033/
3092804,Конструктор LEGO DUPLO Town Рельсы (10882),1799,1049,https://www.detmir.ru/product/index/id/3092804/
3156354,Конструктор LEGO Marvel Super Heroes Лаборатория Железного человека 76125,5499,3369,https://www.detmir.ru/product/index/id/3156354/
3405626,Конструктор LEGO Ninjago Ниндзя-перехватчик Х-1 71737,4499,2839,https://www.detmir.ru/product/index/id/3405626/
3405651,Конструктор LEGO Technic Экскаватор Liebherr R 9800 42100,37999,34199,https://www.detmir.ru/product/index/id/3405651/
3244536,Конструктор LEGO City Городской аэропорт 60261,4499,2799,https://www.detmir.ru/product/index/id/3244536/
3405638,Конструктор LEGO Minecraft 21169,5499,3629,https://www.detmir.ru/product/index/id/3405638/
3200892,Конструктор LEGO Star Wars Episode IX Сокол Тысячелетия 75257,13499,8499,https://www.detmir.ru/product/index/id/3200892/
3405538,Конструктор LEGO Creator Транспортировщик гоночных автомобилей 31113,2199,1349,https://www.detmir.ru/product/index/id/3405538/
3122104,Конструктор LEGO Harry Potter Гремучая ива 75953,6499,3989,https://www.detmir.ru/product/index/id/3122104/
3244547,Конструктор LEGO Minions Миньоны и дом 75551,4699,2819,https://www.detmir.ru/product/index/id/3244547/
3405594,Конструктор LEGO City Great Vehicles Транспортировка самолёта на авиашоу 60289,2499,1599,https://www.detmir.ru/product/index/id/3405594/
3244592,Конструктор LEGO Ninjago Подземелье колдуна-скелета 71722,8999,5629,https://www.detmir.ru/product/index/id/3244592/
3405553,Конструктор LEGO Friends Передвижной груминг-салон для кошек 41439,799,529,https://www.detmir.ru/product/index/id/3405553/
3405554,Конструктор LEGO Friends Машина скорой ветеринарной помощи 41445,2599,1609,https://www.detmir.ru/product/index/id/3405554/
3142047,Конструктор LEGO Technic Chevrolet Corvette ZR1 42093,3699,2999,https://www.detmir.ru/product/index/id/3142047/
3597020,Конструктор LEGO Ninjago Подводный Дар Судьбы 71756,13499,8499,https://www.detmir.ru/product/index/id/3597020/
3244512,Конструктор LEGO Friends Самолёт в Хартлейк Сити 41429,6499,4199,https://www.detmir.ru/product/index/id/3244512/
3596757,Конструктор LEGO DUPLO Town Гараж и автомойка 10948,8999,5399,https://www.detmir.ru/product/index/id/3596757/
3590734,Конструктор LEGO DUPLO Town Экспедиция на шаттле 10944,1499,959,https://www.detmir.ru/product/index/id/3590734/
3405622,Конструктор LEGO Ninjago Деревня Хранителей 71747,4499,2739,https://www.detmir.ru/product/index/id/3405622/
3597037,Конструктор LEGO Speed Champions Toyota GR Supra 76901,1799,1129,https://www.detmir.ru/product/index/id/3597037/
3405603,Конструктор LEGO DC Super Heroes Майлс Моралес Робот 76171,999,929,https://www.detmir.ru/product/index/id/3405603/
3226584,Конструктор LEGO Minecraft Питомник панд 21158,1799,1169,https://www.detmir.ru/product/index/id/3226584/
3405588,Конструктор LEGO City Great Vehicles Отпуск в доме на колесах 60283,1499,969,https://www.detmir.ru/product/index/id/3405588/
3226644,Конструктор LEGO Disney Princess Книга приключений Анны и Эльзы 43175,1699,1069,https://www.detmir.ru/product/index/id/3226644/
3226651,Конструктор LEGO City Police Полицейский вертолетный транспорт 60244,3799,2469,https://www.detmir.ru/product/index/id/3226651/
3597029,Конструктор LEGO Super Heroes «Мстители: Финал» — решающая битва 76192,8499,5369,https://www.detmir.ru/product/index/id/3597029/
3596975,Конструктор LEGO Ninjago Водный робот Ллойда 71750,1699,1059,https://www.detmir.ru/product/index/id/3596975/
3405600,Конструктор LEGO DC Super Heroes Человек-Паук и Призрачный Гонщик против Карнажа 76173,1799,False,https://www.detmir.ru/product/index/id/3405600/
3596977,Конструктор LEGO Ninjago Атака огненного дракона 71753,4499,2839,https://www.detmir.ru/product/index/id/3596977/
3188097,Конструктор LEGO Technic Экстремальный внедорожник 42099,19999,11159,https://www.detmir.ru/product/index/id/3188097/
3244608,Конструктор LEGO Star Wars AT-AT 75288,13999,8299,https://www.detmir.ru/product/index/id/3244608/
3405548,Конструктор LEGO Friends Органическое кафе Хартлейк-Сити 41444,2599,1619,https://www.detmir.ru/product/index/id/3405548/
3244603,Конструктор LEGO Star Wars Клоны-пехотинцы 501легиона 75280,2799,1819,https://www.detmir.ru/product/index/id/3244603/
3244532,Конструктор LEGO City Исследовательская подводная лодка 60264,2499,1529,https://www.detmir.ru/product/index/id/3244532/
3176040,Конструктор LEGO DUPLO Town Животные мира 10907,8999,8099,https://www.detmir.ru/product/index/id/3176040/
3226681,Конструктор LEGO City Great Vehicles Транспортировщик скоростных катеров 60254,2499,1599,https://www.detmir.ru/product/index/id/3226681/
3594631,Конструктор LEGO Super Heroes Веном 76187,5999,5299,https://www.detmir.ru/product/index/id/3594631/
3142077,Конструктор LEGO City Fire Пожар в бургер-кафе 60214,2499,1619,https://www.detmir.ru/product/index/id/3142077/
3597018,Конструктор LEGO Ninjago Водный дракон 71754,6499,4089,https://www.detmir.ru/product/index/id/3597018/
3405649,Конструктор LEGO Technic Квадроцикл 42124,12499,7569,https://www.detmir.ru/product/index/id/3405649/
3596761,Конструктор LEGO DUPLO Town Самолет и аэропорт 10961,2499,1519,https://www.detmir.ru/product/index/id/3596761/
3144136,Конструктор LEGO Minecraft Последняя битва 21151,1799,1319,https://www.detmir.ru/product/index/id/3144136/
3405593,Конструктор LEGO City Great Vehicles Транспортировка карта 60288,1499,1069,https://www.detmir.ru/product/index/id/3405593/
3226630,Конструктор LEGO Technic Шоу трюков на грузовиках и мотоциклах 42106,4699,2959,https://www.detmir.ru/product/index/id/3226630/
3244517,Конструктор LEGO Friends Модный бутик Эммы 41427,2599,1609,https://www.detmir.ru/product/index/id/3244517/
3226750,Конструктор LEGO Speed Champions Lamborghini Urus ST-X Lamborghini Huracan Super Trofeo EVO 76899,5499,3879,https://www.detmir.ru/product/index/id/3226750/
3226679,Конструктор LEGO City Great Vehicles Строительный бульдозер 60252,1499,999,https://www.detmir.ru/product/index/id/3226679/
3405527,Конструктор LEGO DUPLO My First Поезд для животных 10955,1599,1009,https://www.detmir.ru/product/index/id/3405527/
3405525,Конструктор LEGO DUPLO Classic Шкатулка-сердечко 10909,1599,1299,https://www.detmir.ru/product/index/id/3405525/
3244511,Конструктор LEGO Friends Пляжный домик 41428,4499,2919,https://www.detmir.ru/product/index/id/3244511/
3596836,Конструктор LEGO Dots Большой набор Летнее настроение 41937,2599,1529,https://www.detmir.ru/product/index/id/3596836/
3596969,Конструктор LEGO Super Mario Летучий корабль Боузера 71391,8999,5629,https://www.detmir.ru/product/index/id/3596969/
3244533,Конструктор LEGO City Исследовательская база 60265,5499,3409,https://www.detmir.ru/product/index/id/3244533/
3405654,Конструктор LEGO Technic Bugatti Chiron 42083,34899,32999,https://www.detmir.ru/product/index/id/3405654/
3489842,Конструктор LEGO Minecraft Приключения на пиратском корабле 21152,4599,False,https://www.detmir.ru/product/index/id/3489842/
3244601,Конструктор LEGO Minecraft Битва за красную пыль 21163,4699,3919,https://www.detmir.ru/product/index/id/3244601/
3405620,Конструктор LEGO Ninjago Мотоцикл Ллойда для джунглей 71745,1699,1099,https://www.detmir.ru/product/index/id/3405620/
3596758,Конструктор LEGO DUPLO My First Поезд с цифрами-учимся считать 10954,1499,969,https://www.detmir.ru/product/index/id/3596758/
2496001,Конструктор LEGO Creator Грозный динозавр (31058),1399,839,https://www.detmir.ru/product/index/id/2496001/
3405563,Конструктор LEGO Dots Секретная шкатулка 41924,1759,1599,https://www.detmir.ru/product/index/id/3405563/
3405605,Конструктор LEGO DC Super Heroes Капитан Америка Робот 76168,999,649,https://www.detmir.ru/product/index/id/3405605/
3226632,Конструктор LEGO Technic Гоночный автомобиль Top Gear 42109,12499,7499,https://www.detmir.ru/product/index/id/3226632/
3244591,Конструктор LEGO Ninjago Дракон чародея-скелета 71721,7499,4779,https://www.detmir.ru/product/index/id/3244591/
3405646,Конструктор LEGO Technic Гоночный самолёт 42117,899,699,https://www.detmir.ru/product/index/id/3405646/
3405624,Конструктор LEGO Ninjago Турнир стихий 71735,2599,1819,https://www.detmir.ru/product/index/id/3405624/
3596785,Конструктор LEGO Friends Американские горки на Волшебной ярмарке 41685,8499,5059,https://www.detmir.ru/product/index/id/3596785/
3597027,Конструктор LEGO Super Heroes Железный человек: схватка с Железным Торговцем 76190,3699,2329,https://www.detmir.ru/product/index/id/3597027/
3405584,Конструктор LEGO City Fire Команда пожарных 60282,4999,3039,https://www.detmir.ru/product/index/id/3405584/
3596782,Конструктор LEGO Friends Школа Хартлейк Сити 41682,6499,3709,https://www.detmir.ru/product/index/id/3596782/
3233714,Конструктор LEGO DUPLO Большая строительная пластина 2304,1299,869,https://www.detmir.ru/product/index/id/3233714/
